#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_NUCC01000039.1    -         ToxI                 RF02519    cm        1       34     4697     4664      -    no    1 0.41   0.0   58.5   9.3e-05 !   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig39_140514, whole genome shotgun sequence
NZ_CP020746.1        -         ToxI                 RF02519    cm        1       34    82933    82900      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus mycoides strain Gnyt1 plasmid unnamed3, complete sequence
NZ_FMAK01000065.1    -         ToxI                 RF02519    cm        1       34    12916    12883      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus mycoides strain SDA_GO95, whole genome shotgun sequence
NZ_FNUW01000026.1    -         ToxI                 RF02519    cm        1       34    60588    60555      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus sp. ok061, whole genome shotgun sequence
NZ_NFCS01000156.1    -         ToxI                 RF02519    cm        1       34    41451    41484      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus thuringiensis serovar andalousiensis strain BGSC 4AW1 4AW1_contig000156, whole genome shotgun sequence
NZ_PGEC01000299.1    -         ToxI                 RF02519    cm        1       34    40220    40253      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus thuringiensis serovar morrisoni strain BGSC 4K1 53149, whole genome shotgun sequence
NZ_JTHH01000008.1    -         ToxI                 RF02519    cm        1       34  1676235  1676202      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus thuringiensis serovar morrisoni strain HD 600 BG10.Contig244, whole genome shotgun sequence
NZ_NFEC01000060.1    -         ToxI                 RF02519    cm        1       34    22542    22575      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus thuringiensis serovar thompsoni strain BGSC 4O1 4O1_contig000060, whole genome shotgun sequence
NZ_NTUS01000142.1    -         ToxI                 RF02519    cm        1       34     1357     1324      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus thuringiensis strain AFS015413 AFS015413_107_D9_Contig142_140523, whole genome shotgun sequence
NZ_NUGA01000030.1    -         ToxI                 RF02519    cm        1       34    22959    22992      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus thuringiensis strain AFS056670 AFS056670_71_D3_Contig30_140411, whole genome shotgun sequence
NZ_LDEU01000156.1    -         ToxI                 RF02519    cm        1       34    41451    41484      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus thuringiensis strain BMB3201 BMB3201_contig000156, whole genome shotgun sequence
NZ_NHNR01000067.1    -         ToxI                 RF02519    cm        1       34     5742     5709      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus thuringiensis strain WBt-2 contig-100_66, whole genome shotgun sequence
NZ_NUAW01000023.1    -         ToxI                 RF02519    cm        1       34    14390    14423      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus toyonensis strain AFS026256 AFS026256_99_A8_Contig23_140514, whole genome shotgun sequence
NZ_NURI01000019.1    -         ToxI                 RF02519    cm        1       34    14366    14399      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus toyonensis strain AFS052650 AFS052650_105_A4_Contig19_140523, whole genome shotgun sequence
NZ_NVFJ01000032.1    -         ToxI                 RF02519    cm        1       34    14369    14402      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus toyonensis strain AFS084242 AFS084242_105_E4_Contig32_140523, whole genome shotgun sequence
NZ_NFCR01000095.1    -         ToxI                 RF02519    cm        1       34    20918    20951      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar malayensis strain BGSC 4AV1 4AV1_contig000095, whole genome shotgun sequence
NZ_NUEH01000055.1    -         ToxI                 RF02519    cm        1       34    38373    38340      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus toyonensis strain AFS005430 AFS005430_100_E12_Contig55_140514, whole genome shotgun sequence
NZ_NUDM01000074.1    -         ToxI                 RF02519    cm        1       34    31502    31469      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus toyonensis strain AFS010752 AFS010752_108_G1_Contig96_140523, whole genome shotgun sequence
NZ_NUCC01000044.1    -         ToxI                 RF02519    cm        1       34    17916    17883      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig44_140514, whole genome shotgun sequence
NZ_NUTK01000059.1    -         ToxI                 RF02519    cm        1       34     2457     2490      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus toyonensis strain AFS038153 AFS038153_108_E2_Contig59_140523, whole genome shotgun sequence
NZ_FWYW01000117.1    -         ToxI                 RF02519    cm        1       34     4137     4104      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus cereus strain 16-00174, whole genome shotgun sequence
NZ_FWYV01000126.1    -         ToxI                 RF02519    cm        1       34       83       50      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus cereus strain 16-00175, whole genome shotgun sequence
NZ_FWZF01000008.1    -         ToxI                 RF02519    cm        1       34     3878     3911      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus cereus strain 16-00176, whole genome shotgun sequence
NZ_FWYT01000018.1    -         ToxI                 RF02519    cm        1       34     3024     3057      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus cereus strain 16-00184, whole genome shotgun sequence
NZ_NTYN01000069.1    -         ToxI                 RF02519    cm        1       34      104       71      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus cereus strain AFS004414 AFS004414_101_F12_Contig69_140514, whole genome shotgun sequence
NZ_PCOB01000044.1    -         ToxI                 RF02519    cm        1       34     8267     8234      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus sp. MYb78 MYb78_contig000044, whole genome shotgun sequence
NC_018881.1          -         ToxI                 RF02519    cm        1       34     5988     5955      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis Bt407 plasmid BTB_8p, complete sequence
NZ_CM000747.1        -         ToxI                 RF02519    cm        1       34  5368745  5368778      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis Bt407 chromosome, whole genome shotgun sequence
NZ_NFDW01000273.1    -         ToxI                 RF02519    cm        1       34      696      663      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar aizawai strain BGSC 4J3 4J3_contig000273, whole genome shotgun sequence
NZ_NFDX01000164.1    -         ToxI                 RF02519    cm        1       34     6164     6131      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar aizawai strain BGSC 4J4 4J4_contig000164, whole genome shotgun sequence
NZ_MOXQ01000128.1    -         ToxI                 RF02519    cm        1       34      821      854      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar aizawai strain HD-133 scaffold128.1, whole genome shotgun sequence
NZ_NFEP01000003.1    -         ToxI                 RF02519    cm        1       34     3636     3669      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar aizawai strain T07019 T07019_contig000003, whole genome shotgun sequence
NZ_NFER01000165.1    -         ToxI                 RF02519    cm        1       34     1277     1244      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar aizawai strain T07128 T07128_contig000165, whole genome shotgun sequence
NZ_NFER01000166.1    -         ToxI                 RF02519    cm        1       34     2234     2267      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar aizawai strain T07128 T07128_contig000166, whole genome shotgun sequence
NZ_NFEV01000217.1    -         ToxI                 RF02519    cm        1       34       44       11      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar aizawai strain T07183 T07183_contig000217, whole genome shotgun sequence
NZ_NFEV01000217.1    -         ToxI                 RF02519    cm        1       34     8622     8589      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar aizawai strain T07183 T07183_contig000217, whole genome shotgun sequence
NZ_AMXT02000177.1    -         ToxI                 RF02519    cm        1       34     6155     6122      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar aizawai str. Hu4-2 Contig_177, whole genome shotgun sequence
NZ_CP015182.1        -         ToxI                 RF02519    cm        1       34     7299     7266      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar alesti strain BGSC 4C1 plasmid pBMB8291, complete sequence
NZ_PGSC01000681.1    -         ToxI                 RF02519    cm        1       34     7571     7604      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar alesti strain BGSC 4C3 map unlocalized plasmid pBGSC4C3 53232, whole genome shotgun sequence
NZ_PGSC01000180.1    -         ToxI                 RF02519    cm        1       34     5950     5983      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar alesti strain BGSC 4C3 44619, whole genome shotgun sequence
NZ_PHSK01000018.1    -         ToxI                 RF02519    cm        1       34     2553     2520      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar berliner strain Bt407 map unlocalized plasmid pBt407 59970, whole genome shotgun sequence
NZ_CP010099.1        -         ToxI                 RF02519    cm        1       34      378      345      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar galleriae strain HD-29 plasmid pBMB8, complete sequence
NZ_PGEH01000419.1    -         ToxI                 RF02519    cm        1       34     4682     4715      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki strain 7.1o map unlocalized plasmid p7.1o 54397, whole genome shotgun sequence
NZ_PGEH01000112.1    -         ToxI                 RF02519    cm        1       34     3378     3411      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki strain 7.1o 47733, whole genome shotgun sequence
NZ_PGEG01000575.1    -         ToxI                 RF02519    cm        1       34     2475     2508      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki strain BGSC 4D1 map unlocalized plasmid pBGSC4D1 54460, whole genome shotgun sequence
NZ_PGEG01000190.1    -         ToxI                 RF02519    cm        1       34     4627     4660      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki strain BGSC 4D1 48183, whole genome shotgun sequence
NZ_PHSM01000064.1    -         ToxI                 RF02519    cm        1       34     4275     4308      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki strain BGSC 4D4 map unlocalized plasmid pBGSC4D4 59928, whole genome shotgun sequence
NZ_MOXR01000121.1    -         ToxI                 RF02519    cm        1       34     7984     7951      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki strain BP865 scaffold121.1, whole genome shotgun sequence
NZ_CP010009.1        -         ToxI                 RF02519    cm        1       34     3087     3120      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki strain HD 1 plasmid unnamed11, complete sequence
NZ_CP004880.1        -         ToxI                 RF02519    cm        1       34     7298     7265      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki str. HD-1 plasmid pBMB8240, complete sequence
NC_020242.1          -         ToxI                 RF02519    cm        1       34     7852     7819      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki str. HD73 plasmid pHT8_2, complete sequence
NZ_CM000751.1        -         ToxI                 RF02519    cm        1       34  5248755  5248788      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki str. T03a001 chromosome, whole genome shotgun sequence
NZ_CP007610.1        -         ToxI                 RF02519    cm        1       34     7446     7479      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB8240, complete sequence
NZ_JWJY01000111.1    -         ToxI                 RF02519    cm        1       34     6250     6283      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar mexicanensis strain 27 Btm27_contig000111, whole genome shotgun sequence
NZ_NFCE01000035.1    -         ToxI                 RF02519    cm        1       34      766      733      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis serovar thuringiensis strain BGSC 4A4 4A4_contig000035, whole genome shotgun sequence
NZ_NHPK02000136.1    -         ToxI                 RF02519    cm        1       34     4934     4901      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain 1126_1 contig-100_135, whole genome shotgun sequence
NZ_NTUS01000041.1    -         ToxI                 RF02519    cm        1       34     2865     2832      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain AFS015413 AFS015413_107_D9_Contig41_140523, whole genome shotgun sequence
NZ_NUCJ01000040.1    -         ToxI                 RF02519    cm        1       34     8203     8236      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain AFS018409 AFS018409_101_H11_Contig40_140514, whole genome shotgun sequence
NZ_NUUL01000012.1    -         ToxI                 RF02519    cm        1       34       50       17      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain AFS031473 AFS031473_101_E12_Contig12_140514, whole genome shotgun sequence
NZ_NUTX01000131.1    -         ToxI                 RF02519    cm        1       34       53       20      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain AFS034084 AFS034084_114_G5_Contig95_140618, whole genome shotgun sequence
NZ_NUSR01000121.1    -         ToxI                 RF02519    cm        1       34       53       20      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain AFS043930 AFS043930_101_G11_Contig153_140514, whole genome shotgun sequence
NZ_NVJS01000007.1    -         ToxI                 RF02519    cm        1       34     8204     8237      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain AFS061780 AFS061780_101_F11_Contig7_140514, whole genome shotgun sequence
NZ_JWST01000027.1    -         ToxI                 RF02519    cm        1       34     2375     2342      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain AK47 scaffold33.1, whole genome shotgun sequence
NZ_PDVK01000128.1    -         ToxI                 RF02519    cm        1       34     5905     5872      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain BR145 NODE_128_length_8406_cov_859.837, whole genome shotgun sequence
NZ_PVMD01000044.1    -         ToxI                 RF02519    cm        1       34     4064     4031      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain BR37 NODE_144_length_8690_cov_377.699, whole genome shotgun sequence
NZ_CM010225.1        -         ToxI                 RF02519    cm        1       34       77      110      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain Bt-ICA/UNMSM10RA plasmid unnamed1, whole genome shotgun sequence
NZ_PZQR01000111.1    -         ToxI                 RF02519    cm        1       34     2884     2851      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain Bt-ICA/UNMSM10RA scaffold_110, whole genome shotgun sequence
NZ_NHNQ01000155.1    -         ToxI                 RF02519    cm        1       34     4906     4873      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain G03 contig-100_154, whole genome shotgun sequence
NZ_NFEN01000006.1    -         ToxI                 RF02519    cm        1       34     3276     3309      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain I13 I13_contig000006, whole genome shotgun sequence
NZ_QNUR01000136.1    -         ToxI                 RF02519    cm        1       34     4934     4901      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain kn11 contig-100_135, whole genome shotgun sequence
NZ_SJQC01000319.1    -         ToxI                 RF02519    cm        1       34     4317     4284      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain MS12 NODE_164_length_8339_cov_181.902063, whole genome shotgun sequence
NZ_RBVK01000127.1    -         ToxI                 RF02519    cm        1       34     5510     5543      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain T414 map unlocalized plasmid p414H NODE_127, whole genome shotgun sequence
NZ_CP011356.1        -         ToxI                 RF02519    cm        1       34     6217     6184      -    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis strain YC-10 plasmid pYC11, complete sequence
NZ_ARXZ02000079.1    -         ToxI                 RF02519    cm        1       34      349      382      +    no    1 0.38   0.0   57.4   0.00017 !   Bacillus thuringiensis T01-328 contig000079, whole genome shotgun sequence
NZ_CMPX01000073.1    -         ToxI                 RF02519    cm        1       34     7765     7732      -    no    1 0.38   0.0   57.4   0.00017 !   Streptococcus pneumoniae strain 10F, whole genome shotgun sequence
NZ_CIHO01000044.1    -         ToxI                 RF02519    cm        1       34     1921     1954      +    no    1 0.38   0.0   57.4   0.00017 !   Streptococcus pneumoniae strain SMRU1010, whole genome shotgun sequence
NZ_NTYZ01000006.1    -         ToxI                 RF02519    cm        1       34    32867    32834      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus cereus strain AFS002848 AFS002848_108_F8_Contig9_140523, whole genome shotgun sequence
NZ_NTYK01000006.1    -         ToxI                 RF02519    cm        1       34    15823    15790      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus cereus strain AFS004701 AFS004701_95_C5_Contig6_140514, whole genome shotgun sequence
NZ_NTRG01000027.1    -         ToxI                 RF02519    cm        1       34    33668    33635      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus cereus strain AFS023730 AFS023730_108_G10_Contig27_140523, whole genome shotgun sequence
NZ_NUJZ01000004.1    -         ToxI                 RF02519    cm        1       34    23108    23141      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus cereus strain AFS045348 AFS045348_105_F5_Contig4_140523, whole genome shotgun sequence
NZ_NUJB01000012.1    -         ToxI                 RF02519    cm        1       34    43851    43818      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus cereus strain AFS048015 AFS048015_82_D11_Contig8_140604, whole genome shotgun sequence
NZ_NUHB01000009.1    -         ToxI                 RF02519    cm        1       34    28099    28066      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus cereus strain AFS054163 AFS054163_108_H7_Contig9_140523, whole genome shotgun sequence
NZ_NUVV01000014.1    -         ToxI                 RF02519    cm        1       34     2099     2132      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus cereus strain AFS085606 AFS085606_111_B7_Contig19_140604, whole genome shotgun sequence
NZ_NUVB01000010.1    -         ToxI                 RF02519    cm        1       34    49033    49066      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus cereus strain AFS087793 AFS087793_84_E11_Contig13_140604, whole genome shotgun sequence
NZ_FNQU01000026.1    -         ToxI                 RF02519    cm        1       34    12751    12718      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus sp. cl115, whole genome shotgun sequence
NZ_FQZW01000025.1    -         ToxI                 RF02519    cm        1       34    19111    19144      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus sp. cl25, whole genome shotgun sequence
NZ_FNDM01000025.1    -         ToxI                 RF02519    cm        1       34    19111    19144      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus sp. cl96, whole genome shotgun sequence
NC_018686.1          -         ToxI                 RF02519    cm        1       34    38923    38956      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis MC28 plasmid pMC183, complete sequence
NZ_NFEP01000250.1    -         ToxI                 RF02519    cm        1       34    10164    10131      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar aizawai strain T07019 T07019_contig000250, whole genome shotgun sequence
NZ_AMXT02000312.1    -         ToxI                 RF02519    cm        1       34    11838    11871      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar aizawai str. Hu4-2 Contig_312, whole genome shotgun sequence
NZ_CP015180.1        -         ToxI                 RF02519    cm        1       34    63400    63367      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar alesti strain BGSC 4C1 plasmid pBMB71, complete sequence
NZ_NFDM01000143.1    -         ToxI                 RF02519    cm        1       34    15254    15287      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar alesti strain BGSC 4C1 4C1_contig000143, whole genome shotgun sequence
NZ_PGSC01000720.1    -         ToxI                 RF02519    cm        1       34    20706    20739      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar alesti strain BGSC 4C3 map unlocalized plasmid pBGSC4C3 53271, whole genome shotgun sequence
NZ_PGSC01000226.1    -         ToxI                 RF02519    cm        1       34    20945    20978      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar alesti strain BGSC 4C3 44665, whole genome shotgun sequence
NZ_PGEH01000397.1    -         ToxI                 RF02519    cm        1       34     2410     2377      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar kurstaki strain 7.1o map unlocalized plasmid p7.1o 54375, whole genome shotgun sequence
NZ_PGEH01000354.1    -         ToxI                 RF02519    cm        1       34    11870    11903      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar kurstaki strain 7.1o 47976, whole genome shotgun sequence
NZ_PHSM01000020.1    -         ToxI                 RF02519    cm        1       34    51329    51296      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar kurstaki strain BGSC 4D4 map unlocalized plasmid pBGSC4D4 59883, whole genome shotgun sequence
NZ_MOXR01000077.1    -         ToxI                 RF02519    cm        1       34    11887    11920      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar kurstaki strain BP865 scaffold77.1, whole genome shotgun sequence
NZ_CP010002.1        -         ToxI                 RF02519    cm        1       34    69502    69535      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar kurstaki strain HD 1 plasmid unnamed5, complete sequence
NZ_CP004874.1        -         ToxI                 RF02519    cm        1       34    52857    52890      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar kurstaki str. HD-1 plasmid pBMB74, complete sequence
NC_020240.1          -         ToxI                 RF02519    cm        1       34    63481    63448      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar kurstaki str. HD73 plasmid pAW63, complete sequence
NZ_NFDZ01000030.1    -         ToxI                 RF02519    cm        1       34    10140    10107      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis serovar tolworthi strain BGSC 4L3 4L3_contig000030, whole genome shotgun sequence
NZ_NUCJ01000099.1    -         ToxI                 RF02519    cm        1       34     8923     8890      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain AFS018409 AFS018409_101_H11_Contig99_140514, whole genome shotgun sequence
NZ_NTQE01000020.1    -         ToxI                 RF02519    cm        1       34    34137    34170      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain AFS027178 AFS027178_110_C8_Contig20_140523, whole genome shotgun sequence
NZ_NUUL01000108.1    -         ToxI                 RF02519    cm        1       34    14397    14430      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain AFS031473 AFS031473_101_E12_Contig108_140514, whole genome shotgun sequence
NZ_NUTX01000112.1    -         ToxI                 RF02519    cm        1       34     8923     8890      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain AFS034084 AFS034084_114_G5_Contig142_140618, whole genome shotgun sequence
NZ_NUMJ01000046.1    -         ToxI                 RF02519    cm        1       34     2990     2957      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain AFS039999 AFS039999_119_D11_Contig46_140618, whole genome shotgun sequence
NZ_NUSR01000055.1    -         ToxI                 RF02519    cm        1       34    11808    11841      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain AFS043930 AFS043930_101_G11_Contig40_140514, whole genome shotgun sequence
NZ_NUHW01000021.1    -         ToxI                 RF02519    cm        1       34    14816    14849      +    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain AFS052460 AFS052460_98_C8_Contig21_140514, whole genome shotgun sequence
NZ_NVJS01000101.1    -         ToxI                 RF02519    cm        1       34     8924     8891      -    no    1 0.44   0.0   57.0   0.00021 !   Bacillus thuringiensis strain AFS061780 AFS061780_101_F11_Contig120_140514, whole genome shotgun sequence
