#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_RHDS01000004.1    -         result               -          cm        1       37   343492   343529      +    no    1 0.37   0.0   32.8        24 ?   [Curtobacterium] plantarum strain LMG 16222 LMG16222.00004, whole genome shotgun sequence
NZ_FKAJ01000017.1    -         result               -          cm        1       37    52757    52720      -    no    1 0.37   0.0   29.8   1.5e+02 ?   Enterobacter cloacae strain e1714, whole genome shotgun sequence
NZ_LPOS01000028.1    -         result               -          cm        1       37    35225    35262      +    no    1 0.37   0.0   29.8   1.5e+02 ?   Enterobacter roggenkampii strain SMART_930 contig34, whole genome shotgun sequence
NZ_AZDP01000071.1    -         result               -          cm        1       37    19745    19781      +    no    1 0.35   0.0   29.5   1.8e+02 ?   Lactobacillus koreensis JCM 16448 NODE_199, whole genome shotgun sequence
NZ_CP012033.1        -         result               -          cm        1       37  1016237  1016273      +    no    1 0.35   0.0   29.5   1.8e+02 ?   Lactobacillus koreensis strain 26-25, complete genome
NZ_AJSY01000033.1    -         result               -          cm        1       37        1       37      +    no    1 0.43   0.0   29.5   1.8e+02 ?   Fusobacterium necrophorum subsp. funduliforme ATCC 51357 contig00009, whole genome shotgun sequence
NZ_CP024704.1        -         result               -          cm        1       37  2135702  2135737      +    no    1 0.33   0.0   29.4   1.9e+02 ?   Fusobacterium periodonticum strain KCOM 2555 chromosome, complete genome
NZ_NTYZ01000006.1    -         result               -          cm        1       37    32868    32834      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus cereus strain AFS002848 AFS002848_108_F8_Contig9_140523, whole genome shotgun sequence
NZ_NTYK01000006.1    -         result               -          cm        1       37    15824    15790      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus cereus strain AFS004701 AFS004701_95_C5_Contig6_140514, whole genome shotgun sequence
NZ_NTRG01000027.1    -         result               -          cm        1       37    33669    33635      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus cereus strain AFS023730 AFS023730_108_G10_Contig27_140523, whole genome shotgun sequence
NZ_NUJZ01000004.1    -         result               -          cm        1       37    23107    23141      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus cereus strain AFS045348 AFS045348_105_F5_Contig4_140523, whole genome shotgun sequence
NZ_NUJB01000012.1    -         result               -          cm        1       37    43852    43818      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus cereus strain AFS048015 AFS048015_82_D11_Contig8_140604, whole genome shotgun sequence
NZ_NUHB01000009.1    -         result               -          cm        1       37    28100    28066      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus cereus strain AFS054163 AFS054163_108_H7_Contig9_140523, whole genome shotgun sequence
NZ_NUVV01000014.1    -         result               -          cm        1       37     2098     2132      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus cereus strain AFS085606 AFS085606_111_B7_Contig19_140604, whole genome shotgun sequence
NZ_NUVB01000010.1    -         result               -          cm        1       37    49032    49066      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus cereus strain AFS087793 AFS087793_84_E11_Contig13_140604, whole genome shotgun sequence
NZ_FNQU01000026.1    -         result               -          cm        1       37    12752    12718      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus sp. cl115, whole genome shotgun sequence
NZ_FQZW01000025.1    -         result               -          cm        1       37    19110    19144      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus sp. cl25, whole genome shotgun sequence
NZ_FNDM01000025.1    -         result               -          cm        1       37    19110    19144      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus sp. cl96, whole genome shotgun sequence
NC_018686.1          -         result               -          cm        1       37    38922    38956      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis MC28 plasmid pMC183, complete sequence
NZ_NFEP01000250.1    -         result               -          cm        1       37    10165    10131      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar aizawai strain T07019 T07019_contig000250, whole genome shotgun sequence
NZ_AMXT02000312.1    -         result               -          cm        1       37    11837    11871      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar aizawai str. Hu4-2 Contig_312, whole genome shotgun sequence
NZ_CP015180.1        -         result               -          cm        1       37    63401    63367      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 plasmid pBMB71, complete sequence
NZ_NFDM01000143.1    -         result               -          cm        1       37    15253    15287      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C1 4C1_contig000143, whole genome shotgun sequence
NZ_PGSC01000720.1    -         result               -          cm        1       37    20705    20739      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C3 map unlocalized plasmid pBGSC4C3 53271, whole genome shotgun sequence
NZ_PGSC01000226.1    -         result               -          cm        1       37    20944    20978      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar alesti strain BGSC 4C3 44665, whole genome shotgun sequence
NZ_PGEH01000397.1    -         result               -          cm        1       37     2411     2377      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar kurstaki strain 7.1o map unlocalized plasmid p7.1o 54375, whole genome shotgun sequence
NZ_PGEH01000354.1    -         result               -          cm        1       37    11869    11903      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar kurstaki strain 7.1o 47976, whole genome shotgun sequence
NZ_PHSM01000020.1    -         result               -          cm        1       37    51330    51296      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar kurstaki strain BGSC 4D4 map unlocalized plasmid pBGSC4D4 59883, whole genome shotgun sequence
NZ_MOXR01000077.1    -         result               -          cm        1       37    11886    11920      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar kurstaki strain BP865 scaffold77.1, whole genome shotgun sequence
NZ_CP010002.1        -         result               -          cm        1       37    69501    69535      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar kurstaki strain HD 1 plasmid unnamed5, complete sequence
NZ_CP004874.1        -         result               -          cm        1       37    52856    52890      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar kurstaki str. HD-1 plasmid pBMB74, complete sequence
NC_020240.1          -         result               -          cm        1       37    63482    63448      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar kurstaki str. HD73 plasmid pAW63, complete sequence
NZ_NFDZ01000030.1    -         result               -          cm        1       37    10141    10107      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis serovar tolworthi strain BGSC 4L3 4L3_contig000030, whole genome shotgun sequence
NZ_NUCJ01000099.1    -         result               -          cm        1       37     8924     8890      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain AFS018409 AFS018409_101_H11_Contig99_140514, whole genome shotgun sequence
NZ_NTQE01000020.1    -         result               -          cm        1       37    34136    34170      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain AFS027178 AFS027178_110_C8_Contig20_140523, whole genome shotgun sequence
NZ_NUUL01000108.1    -         result               -          cm        1       37    14396    14430      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain AFS031473 AFS031473_101_E12_Contig108_140514, whole genome shotgun sequence
NZ_NUTX01000112.1    -         result               -          cm        1       37     8924     8890      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain AFS034084 AFS034084_114_G5_Contig142_140618, whole genome shotgun sequence
NZ_NUMJ01000046.1    -         result               -          cm        1       37     2991     2957      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain AFS039999 AFS039999_119_D11_Contig46_140618, whole genome shotgun sequence
NZ_NUSR01000055.1    -         result               -          cm        1       37    11807    11841      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain AFS043930 AFS043930_101_G11_Contig40_140514, whole genome shotgun sequence
NZ_NUHW01000021.1    -         result               -          cm        1       37    14815    14849      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain AFS052460 AFS052460_98_C8_Contig21_140514, whole genome shotgun sequence
NZ_NVJS01000101.1    -         result               -          cm        1       37     8925     8891      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain AFS061780 AFS061780_101_F11_Contig120_140514, whole genome shotgun sequence
NZ_CP015154.1        -         result               -          cm        1       37     5190     5224      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain Bc601 plasmid pBTBC4, complete sequence
NZ_PDVK01000080.1    -         result               -          cm        1       37    11915    11949      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain BR145 NODE_80_length_21037_cov_226.763, whole genome shotgun sequence
NZ_RBVK01000078.1    -         result               -          cm        1       37    11915    11949      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain T414 map unlocalized plasmid p414D NODE_78, whole genome shotgun sequence
NZ_CP011351.1        -         result               -          cm        1       37    80249    80215      -    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain YC-10 plasmid pYC3, complete sequence
NZ_CP013059.1        -         result               -          cm        1       37     8600     8634      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus thuringiensis strain YWC2-8 plasmid pYWC2-8-4, complete sequence
NZ_NUTC01000069.1    -         result               -          cm        1       37    41921    41955      +    no    1 0.43   0.0   29.3   2.1e+02 ?   Bacillus toyonensis strain AFS040610 AFS040610_104_F7_Contig28_140523, whole genome shotgun sequence
NZ_SACS01000024.1    -         result               -          cm        1       37    10653    10616      -    no    1 0.42   0.0   29.3   2.1e+02 ?   Rheinheimera sp. KYPC3 NODE_24_length_76685_cov_89, whole genome shotgun sequence
NZ_FUWX01000056.1    -         result               -          cm        1       37      637      598      -    no    1 0.38   0.0   28.8   2.8e+02 ?   Cetobacterium ceti strain ATCC 700028, whole genome shotgun sequence
NZ_NIRQ01000001.1    -         result               -          cm        1       37     9314     9278      -    no    1 0.35   0.0   28.8   2.8e+02 ?   Fusobacterium nucleatum subsp. polymorphum strain KCOM 1330 (=ChDC F330) F330_1, whole genome shotgun sequence
NZ_NIRQ01000001.1    -         result               -          cm        1       37     9240     9204      -    no    1 0.38   0.0   28.8   2.9e+02 ?   Fusobacterium nucleatum subsp. polymorphum strain KCOM 1330 (=ChDC F330) F330_1, whole genome shotgun sequence
NZ_NIRQ01000001.1    -         result               -          cm        1       37     9277     9241      -    no    1 0.38   0.0   28.8   2.9e+02 ?   Fusobacterium nucleatum subsp. polymorphum strain KCOM 1330 (=ChDC F330) F330_1, whole genome shotgun sequence
NZ_NPNM01000016.1    -         result               -          cm        1       37    91313    91276      -    no    1 0.42   0.0   28.7   2.9e+02 ?   Enterobacter cloacae strain DS25697 opera_scaffold_16, whole genome shotgun sequence
NZ_FJYV01000012.1    -         result               -          cm        1       37    54777    54814      +    no    1 0.42   0.0   28.7   2.9e+02 ?   Enterobacter cloacae strain e1422, whole genome shotgun sequence
NZ_RHWT01000029.1    -         result               -          cm        1       37    32302    32265      -    no    1 0.42   0.0   28.7   2.9e+02 ?   Enterobacter cloacae strain EC_073 NODE_29_length_71969_cov_34.1239, whole genome shotgun sequence
NZ_KK736254.1        -         result               -          cm        1       37        3       40      +    no    1 0.42   0.0   28.7   2.9e+02 ?   Enterobacter hormaechei strain MGH 53 aeeay-supercont1.2, whole genome shotgun sequence
NZ_MUDF01000005.1    -         result               -          cm        1       37   183012   183049      +    no    1 0.42   0.0   28.7   2.9e+02 ?   Enterobacter hormaechei strain SJRP/Ec9 Cotig_52, whole genome shotgun sequence
NZ_LAAE01000009.1    -         result               -          cm        1       37    57618    57581      -    no    1 0.42   0.0   28.7   2.9e+02 ?   Enterobacter hormaechei subsp. steigerwaltii strain 34999 contig9, whole genome shotgun sequence
NZ_LPPY01000007.1    -         result               -          cm        1       37    57831    57794      -    no    1 0.42   0.0   28.7   2.9e+02 ?   Enterobacter hormaechei subsp. xiangfangensis strain SMART_488 contig15, whole genome shotgun sequence
NZ_CEFP01000084.1    -         result               -          cm        1       37        9       45      +    no    1 0.46   0.0   28.6   3.2e+02 ?   Pantoea vagans strain PaVv11, whole genome shotgun sequence
NZ_POFS01000009.1    -         result               -          cm        1       37    71333    71369      +    no    1 0.49   0.0   28.6   3.3e+02 ?   Pseudomonas sp. MPBC4-3 NODE_9_length_117112_cov_28.1197, whole genome shotgun sequence
NZ_POFZ01000027.1    -         result               -          cm        1       37    45780    45744      -    no    1 0.49   0.0   28.6   3.3e+02 ?   Pseudomonas sp. MPR-R5A NODE_27_length_65424_cov_14.6959, whole genome shotgun sequence
NZ_POGD01000006.1    -         result               -          cm        1       37    71333    71369      +    no    1 0.49   0.0   28.6   3.3e+02 ?   Pseudomonas sp. MPR-R5B NODE_6_length_117112_cov_30.993, whole genome shotgun sequence
NZ_JALU01000020.1    -         result               -          cm        1       37    76646    76680      +    no    1 0.46   0.0   28.6   3.3e+02 ?   Mogibacterium timidum ATCC 33093 ctg7180000004144, whole genome shotgun sequence
NZ_CP029569.1        -         result               -          cm        1       37  1911333  1911369      +    no    1 0.41   0.0   28.5   3.3e+02 ?   Acinetobacter baumannii strain DA33098 chromosome, complete genome
NZ_CP009126.1        -         result               -          cm        1       37    29944    29908      -    no    1 0.46   0.0   28.5   3.5e+02 ?   Pectobacterium atrosepticum strain 21A plasmid pPA21A, complete sequence
NZ_NFDG01000047.1    -         result               -          cm        1       37     7764     7730      -    no    1 0.40   0.0   28.2     4e+02 ?   Bacillus thuringiensis serovar navarrensis strain BGSC 4BM1 4BM1_contig000047, whole genome shotgun sequence
NZ_NUBE01000009.1    -         result               -          cm        1       37    44962    44928      -    no    1 0.40   0.0   28.2     4e+02 ?   Bacillus toyonensis strain AFS024499 AFS024499_99_F2_Contig9_140514, whole genome shotgun sequence
NZ_KI547169.1        -         result               -          cm        1       37    96589    96553      -    no    1 0.41   0.0   28.1   4.4e+02 ?   Gamma proteobacterium L18 scaffold00006, whole genome shotgun sequence
NZ_CP022736.1        -         result               -          cm        1       37  4318948  4318911      -    no    1 0.39   0.0   28.0   4.7e+02 ?   Herbaspirillum sp. meg3 chromosome, complete genome
NZ_KB850089.1        -         result               -          cm        1       37  1706529  1706493      -    no    1 0.30   0.0   28.0   4.7e+02 ?   Acinetobacter sp. ANC 3862 acLZf-supercont1.3, whole genome shotgun sequence
NZ_AP018537.1        -         result               -          cm        1       37   819074   819109      +    no    1 0.42   0.0   27.9   4.9e+02 ?   Erysipelotrichaceae bacterium GAM147 DNA, complete genome
NZ_KQ955315.1        -         result               -          cm        1       37    57568    57530      -    no    1 0.44   0.0   27.9   4.9e+02 ?   Anaerococcus hydrogenalis strain MJR7738A Scaffold1, whole genome shotgun sequence
NZ_OCTP01000010.1    -         result               -          cm        1       37   115311   115349      +    no    1 0.44   0.0   27.9   4.9e+02 ?   Anaerococcus sp. Marseille-P3625, whole genome shotgun sequence
NZ_GG666316.1        -         result               -          cm        1       37      513      551      +    no    1 0.44   0.0   27.9   4.9e+02 ?   Anaerococcus tetradius ATCC 35098 SCAFFOLD22, whole genome shotgun sequence
NZ_JAAK01000060.1    -         result               -          cm        1       37      715      677      -    no    1 0.44   0.0   27.9   4.9e+02 ?   Enterococcus faecium VRE0576 contig00060, whole genome shotgun sequence
NZ_GG657974.1        -         result               -          cm        1       37    83179    83214      +    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium gonidiaformans 3-1-5R strain 3_1_5R supercont1.4, whole genome shotgun sequence
NZ_GL988014.1        -         result               -          cm        1       37    94774    94809      +    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium necrophorum D12 supercont2.3, whole genome shotgun sequence
NZ_JHWT01000018.1    -         result               -          cm        1       37    34832    34867      +    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium necrophorum HUN048 T527DRAFT_scaffold00006.6_C, whole genome shotgun sequence
NZ_AJSY01000006.1    -         result               -          cm        1       37    56706    56741      +    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium necrophorum subsp. funduliforme ATCC 51357 contig00017, whole genome shotgun sequence
NZ_KI965381.1        -         result               -          cm        1       37  1585481  1585446      -    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium nucleatum 13_3C adlCx-supercont1.1, whole genome shotgun sequence
NZ_KI965381.1        -         result               -          cm        1       37  1585667  1585632      -    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium nucleatum 13_3C adlCx-supercont1.1, whole genome shotgun sequence
NZ_CM000440.1        -         result               -          cm        1       37  2196372  2196407      +    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium nucleatum subsp. polymorphum ATCC 10953 chromosome, whole genome shotgun sequence
NZ_CP013121.1        -         result               -          cm        1       37  1304055  1304020      -    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium nucleatum subsp. polymorphum strain ChDC F306, complete genome
NZ_NJGI01000004.1    -         result               -          cm        1       37    10525    10490      -    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium nucleatum subsp. polymorphum strain KCOM 1232 (= ChDC F37) F37_contig000004, whole genome shotgun sequence
NZ_NJGI01000004.1    -         result               -          cm        1       37    49615    49580      -    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium nucleatum subsp. polymorphum strain KCOM 1232 (= ChDC F37) F37_contig000004, whole genome shotgun sequence
NZ_NJGI01000004.1    -         result               -          cm        1       37    68278    68243      -    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium nucleatum subsp. polymorphum strain KCOM 1232 (= ChDC F37) F37_contig000004, whole genome shotgun sequence
NZ_LN831027.1        -         result               -          cm        1       37  1753373  1753338      -    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium nucleatum subsp. polymorphum genome assembly NCTC10562, chromosome : 1
NZ_PEQY01000002.1    -         result               -          cm        1       37    22482    22517      +    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium periodonticum strain KCOM 1259 contig2, whole genome shotgun sequence
NZ_CM000440.1        -         result               -          cm        1       37  2196442  2196477      +    no    1 0.44   0.0   27.9     5e+02 ?   Fusobacterium nucleatum subsp. polymorphum ATCC 10953 chromosome, whole genome shotgun sequence
NZ_CP029462.1        -         result               -          cm        1       37  2387231  2387266      +    no    1 0.39   0.0   27.8   5.2e+02 ?   Megasphaera stantonii strain AJH120 chromosome, complete genome
NZ_PSNP01000044.1    -         result               -          cm        1       37     1004      969      -    no    1 0.39   0.0   27.8   5.2e+02 ?   Megasphaera stantonii strain AJH120 Megasphera_S14_L001_R1_001__paired__contig_45, whole genome shotgun sequence
NZ_AUEE01000005.1    -         result               -          cm        1       37     3260     3295      +    no    1 0.39   0.0   27.8   5.2e+02 ?   Jeotgalicoccus marinus DSM 19772 H624DRAFT_scaffold00004.4_C, whole genome shotgun sequence
NZ_PEQW01000001.1    -         result               -          cm        1       37   880344   880305      -    no    1 0.38   0.0   27.8   5.3e+02 ?   Fusobacterium periodonticum strain KCOM 1265 contig1, whole genome shotgun sequence
NZ_CP034243.1        -         result               -          cm        1       37  3147080  3147116      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii isolate 09A16CRGN003B chromosome, complete genome
NZ_JFDQ01000015.1    -         result               -          cm        1       37    65190    65154      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii 1022959 ab1022959.contig.14_1, whole genome shotgun sequence
NZ_JEYR01000006.1    -         result               -          cm        1       37   133974   134010      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii 1031433 ab1031433.contig.5, whole genome shotgun sequence
NZ_JEYT01000189.1    -         result               -          cm        1       37      547      511      -    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii 1036938 ab1036938.contig.188_1, whole genome shotgun sequence
NZ_JMOH01000005.1    -         result               -          cm        1       37   146805   146841      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii 1042969-1197 ab10429691197.contig.4_1, whole genome shotgun sequence
NZ_JEYW01000015.1    -         result               -          cm        1       37    63543    63579      +    no    1 0.43   0.0   27.8   5.3e+02 ?   Acinetobacter baumannii 1042969-1265 ab10429691265.contig.14_1, whole genome shotgun sequence
