#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_NRNN01000027.1    -         result               -          cm        1       36       17       52      +    no    1 0.39   0.0   55.7     1e-06 !   Cronobacter dublinensis strain cro3540W contig27, whole genome shotgun sequence
NZ_JHRZ01000067.1    -         result               -          cm        1       36     2156     2191      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 200146 200146_67, whole genome shotgun sequence
NZ_JHSZ01000034.1    -         result               -          cm        1       36     4273     4308      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 302137 302137_34, whole genome shotgun sequence
NZ_PNVD01000064.1    -         result               -          cm        1       36     1974     2009      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 303227 303227_64, whole genome shotgun sequence
NZ_PNZP01000083.1    -         result               -          cm        1       36     3923     3888      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 310003 310003_83, whole genome shotgun sequence
NZ_PNZO01000104.1    -         result               -          cm        1       36      111      146      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 320321 320321_104, whole genome shotgun sequence
NZ_CYBL01000072.1    -         result               -          cm        1       36      757      792      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 400549_aEPEC, whole genome shotgun sequence
NZ_POAR01000093.1    -         result               -          cm        1       36     2762     2727      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 400584 400584_93, whole genome shotgun sequence
NZ_PNZN01000097.1    -         result               -          cm        1       36     2762     2727      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 400834 400834_97, whole genome shotgun sequence
NZ_PNZJ01000111.1    -         result               -          cm        1       36      106      141      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 401715 401715_111, whole genome shotgun sequence
NZ_PNZK01000069.1    -         result               -          cm        1       36     4293     4328      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 401924 401924_69, whole genome shotgun sequence
NZ_PNUC01000096.1    -         result               -          cm        1       36      219      254      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 402007 402007_96, whole genome shotgun sequence
NZ_POAN01000077.1    -         result               -          cm        1       36     4989     5024      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 403030 403030_77, whole genome shotgun sequence
NZ_PNZI01000052.1    -         result               -          cm        1       36       70      105      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 403047 403047_52, whole genome shotgun sequence
NZ_CYDA01000070.1    -         result               -          cm        1       36     3751     3716      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 403066, whole genome shotgun sequence
NZ_PNZH01000102.1    -         result               -          cm        1       36      723      758      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 403395 403395_102, whole genome shotgun sequence
NZ_CYFD01000121.1    -         result               -          cm        1       36     3721     3686      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 403523, whole genome shotgun sequence
NZ_PNTV01000072.1    -         result               -          cm        1       36      214      249      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 403625 403625_72, whole genome shotgun sequence
NZ_PNZG01000140.1    -         result               -          cm        1       36       70      105      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 410343 410343_140, whole genome shotgun sequence
NZ_PNZF01000088.1    -         result               -          cm        1       36      724      759      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 410519 410519_88, whole genome shotgun sequence
NZ_NIEU01000091.1    -         result               -          cm        1       36     2210     2175      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 41.4p 7000000213728131, whole genome shotgun sequence
NZ_NIEU01000092.1    -         result               -          cm        1       36     4215     4250      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 41.4p 7000000213728155, whole genome shotgun sequence
NZ_NIEV01000235.1    -         result               -          cm        1       36     4204     4239      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 41.5r 7000000213728328, whole genome shotgun sequence
NZ_PNZE01000066.1    -         result               -          cm        1       36      196      231      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 503606 503606_66, whole genome shotgun sequence
NZ_POSR01000068.1    -         result               -          cm        1       36     4239     4274      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 510242 510242_68, whole genome shotgun sequence
NZ_PNZD01000081.1    -         result               -          cm        1       36     4494     4529      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 603744 603744_81, whole genome shotgun sequence
NZ_PNZC01000160.1    -         result               -          cm        1       36      634      669      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 603766 603766_160, whole genome shotgun sequence
NZ_MOJZ01000041.1    -         result               -          cm        1       36     2180     2215      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 680 BN4_680_1__paired__contig_41, whole genome shotgun sequence
NZ_PNYY01000125.1    -         result               -          cm        1       36      255      290      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 700179 700179_125, whole genome shotgun sequence
NZ_POAB01000129.1    -         result               -          cm        1       36     2763     2728      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 700308 700308_129, whole genome shotgun sequence
NZ_PNSS01000115.1    -         result               -          cm        1       36     2876     2841      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 700329 700329_115, whole genome shotgun sequence
NZ_POAK01000077.1    -         result               -          cm        1       36    15420    15385      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 700500 700500_77, whole genome shotgun sequence
NZ_PNYX01000087.1    -         result               -          cm        1       36      106      141      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 700508 700508_87, whole genome shotgun sequence
NZ_PNYX01000087.1    -         result               -          cm        1       36      214      249      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 700508 700508_87, whole genome shotgun sequence
NZ_PNYW01000067.1    -         result               -          cm        1       36     4494     4529      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 700737 700737_67, whole genome shotgun sequence
NZ_PNSO01000091.1    -         result               -          cm        1       36     4864     4899      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 702124 702124_91, whole genome shotgun sequence
NZ_POAJ01000120.1    -         result               -          cm        1       36      716      751      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 702193 702193_120, whole genome shotgun sequence
NZ_PNYU01000080.1    -         result               -          cm        1       36     4494     4529      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 702530 702530_80, whole genome shotgun sequence
NZ_PNSL01000060.1    -         result               -          cm        1       36      106      141      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 702551 702551_60, whole genome shotgun sequence
NZ_PNSK01000129.1    -         result               -          cm        1       36      105      140      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 702582 702582_129, whole genome shotgun sequence
NZ_PIJB01000097.1    -         result               -          cm        1       36     2788     2823      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 979 L979_S2_L001_R1_001__paired__contig_97, whole genome shotgun sequence
NZ_PIJB01000097.1    -         result               -          cm        1       36     2859     2894      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 979 L979_S2_L001_R1_001__paired__contig_97, whole genome shotgun sequence
NZ_CP030330.1        -         result               -          cm        1       36     3617     3652      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain AR_452 plasmid unnamed3, complete sequence
NZ_NFQZ01000070.1    -         result               -          cm        1       36     1154     1189      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain ARS-CC6195 NODE_70_length_6083_cov_68.4873_ID_13650, whole genome shotgun sequence
NZ_NFQY01000066.1    -         result               -          cm        1       36     1708     1743      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain ARS-CC6335 NODE_66_length_6083_cov_64.647_ID_14022, whole genome shotgun sequence
NZ_NFQX01000065.1    -         result               -          cm        1       36     4927     4892      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain ARS-CC6338 NODE_65_length_6083_cov_193.969_ID_13246, whole genome shotgun sequence
NZ_NFQW01000069.1    -         result               -          cm        1       36       57       92      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain ARS-CC7094 NODE_69_length_6103_cov_137.373_ID_17373, whole genome shotgun sequence
NZ_NFQV01000070.1    -         result               -          cm        1       36      829      794      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain ARS-CC7983 NODE_70_length_6204_cov_61.2577_ID_17047, whole genome shotgun sequence
NZ_LLXC01000069.1    -         result               -          cm        1       36      131       96      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain AST_82 Contig_60, whole genome shotgun sequence
NZ_QOEN01000059.1    -         result               -          cm        1       36      390      355      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain AVC251 scaffold_58, whole genome shotgun sequence
NZ_QOEN01000059.1    -         result               -          cm        1       36      426      391      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain AVC251 scaffold_58, whole genome shotgun sequence
NZ_LDDQ01000006.1    -         result               -          cm        1       36     3686     3651      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain CFSAN026789 CFSAN026789_contig0005, whole genome shotgun sequence
NZ_LDDQ01000006.1    -         result               -          cm        1       36     3722     3687      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain CFSAN026789 CFSAN026789_contig0005, whole genome shotgun sequence
NZ_LDDP01000008.1    -         result               -          cm        1       36     4602     4567      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain CFSAN026790 CFSAN026790_contig0007, whole genome shotgun sequence
NZ_LDDP01000008.1    -         result               -          cm        1       36     4638     4603      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain CFSAN026790 CFSAN026790_contig0007, whole genome shotgun sequence
NZ_LDDO01000030.1    -         result               -          cm        1       36     1578     1613      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain CFSAN026791 CFSAN026791_contig0029, whole genome shotgun sequence
NZ_LDDO01000030.1    -         result               -          cm        1       36     1614     1649      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain CFSAN026791 CFSAN026791_contig0029, whole genome shotgun sequence
NZ_BDPV01000046.1    -         result               -          cm        1       36     4602     4567      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain E1637, whole genome shotgun sequence
NZ_BDPV01000046.1    -         result               -          cm        1       36     4638     4603      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain E1637, whole genome shotgun sequence
NZ_QGYV01000191.1    -         result               -          cm        1       36       17       52      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain ECI-1618 ECI-1618_contig191, whole genome shotgun sequence
NZ_QGYV01000191.1    -         result               -          cm        1       36     4687     4722      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain ECI-1618 ECI-1618_contig191, whole genome shotgun sequence
NZ_QHAW01000037.1    -         result               -          cm        1       36     5993     5958      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain ECI-241 ECI-241_contig37, whole genome shotgun sequence
NZ_QHAC01000090.1    -         result               -          cm        1       36     5993     5958      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain ECI-586 ECI-586_contig90, whole genome shotgun sequence
NZ_LQTA01000030.1    -         result               -          cm        1       36     3459     3494      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain GN02323 GCID_ECOLID_00039_NODE_125.ctg_1, whole genome shotgun sequence
NZ_LVTF01000053.1    -         result               -          cm        1       36      510      545      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain GN06113 GCID_ECOLID_00243_NODE_138.ctg_1, whole genome shotgun sequence
NZ_QLKA01000117.1    -         result               -          cm        1       36      669      704      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain LMR3193 NODE_122_length_707_cov_696.322086, whole genome shotgun sequence
NZ_CP030113.1        -         result               -          cm        1       36     4046     4081      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain MCJCHV-1 plasmid pNMEC-O75B, complete sequence
NZ_CP030113.1        -         result               -          cm        1       36     4117     4152      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain MCJCHV-1 plasmid pNMEC-O75B, complete sequence
NZ_NLQP01000131.1    -         result               -          cm        1       36     1533     1498      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain MOD1-EC5213 MOD1-EC5213_132_length_3046_cov_73.0381, whole genome shotgun sequence
NZ_NLOX01000052.1    -         result               -          cm        1       36     4704     4669      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain MOD1-EC5463 MOD1-EC5463_52_length_5490_cov_417.408, whole genome shotgun sequence
NZ_PTRJ01000103.1    -         result               -          cm        1       36     4987     4952      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia sp. MOD1-EC5457 MOD1-EC5457_104_length_6468_cov_38.5389, whole genome shotgun sequence
NZ_QOIG01000156.1    -         result               -          cm        1       36     2898     2863      -    no    1 0.39   0.0   55.7     1e-06 !   Klebsiella pneumoniae strain BC_1422 NODE_196_length_5048_cov_286.120453, whole genome shotgun sequence
NZ_QOIG01000156.1    -         result               -          cm        1       36     2970     2935      -    no    1 0.39   0.0   55.7     1e-06 !   Klebsiella pneumoniae strain BC_1422 NODE_196_length_5048_cov_286.120453, whole genome shotgun sequence
NZ_POWM01000017.1    -         result               -          cm        1       36       89      124      +    no    1 0.39   0.0   55.7     1e-06 !   Pantoea sp. ICBG 985 NODE_17_length_6093_cov_1167.604257, whole genome shotgun sequence
NZ_POWM01000017.1    -         result               -          cm        1       36      125      160      +    no    1 0.39   0.0   55.7     1e-06 !   Pantoea sp. ICBG 985 NODE_17_length_6093_cov_1167.604257, whole genome shotgun sequence
NZ_POWM01000017.1    -         result               -          cm        1       36      197      232      +    no    1 0.39   0.0   55.7     1e-06 !   Pantoea sp. ICBG 985 NODE_17_length_6093_cov_1167.604257, whole genome shotgun sequence
NZ_POWM01000017.1    -         result               -          cm        1       36     6055     6090      +    no    1 0.39   0.0   55.7     1e-06 !   Pantoea sp. ICBG 985 NODE_17_length_6093_cov_1167.604257, whole genome shotgun sequence
NZ_MXBO01000024.1    -         result               -          cm        1       36     3315     3350      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica strain BCW_2544 NODE_24_length_5930_cov_10.0556, whole genome shotgun sequence
NZ_MXBO01000024.1    -         result               -          cm        1       36     3387     3422      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica strain BCW_2544 NODE_24_length_5930_cov_10.0556, whole genome shotgun sequence
NZ_MXBO01000024.1    -         result               -          cm        1       36     3423     3458      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica strain BCW_2544 NODE_24_length_5930_cov_10.0556, whole genome shotgun sequence
NZ_NPOE01000054.1    -         result               -          cm        1       36      499      534      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica strain CFSAN064278 CFSAN064278_55, whole genome shotgun sequence
NZ_NPOE01000054.1    -         result               -          cm        1       36      535      570      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica strain CFSAN064278 CFSAN064278_55, whole genome shotgun sequence
NZ_NPOE01000054.1    -         result               -          cm        1       36      607      642      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica strain CFSAN064278 CFSAN064278_55, whole genome shotgun sequence
NZ_ALEN01000038.1    -         result               -          cm        1       36     1455     1490      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 485549-17 SEEE4917_26, whole genome shotgun sequence
NZ_ALEN01000038.1    -         result               -          cm        1       36     1527     1562      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 485549-17 SEEE4917_26, whole genome shotgun sequence
NZ_ALEN01000038.1    -         result               -          cm        1       36     1563     1598      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 485549-17 SEEE4917_26, whole genome shotgun sequence
NZ_ALER01000043.1    -         result               -          cm        1       36     3705     3670      -    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37 SEEE6437_30, whole genome shotgun sequence
NZ_ALER01000043.1    -         result               -          cm        1       36     3741     3706      -    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37 SEEE6437_30, whole genome shotgun sequence
NZ_ALER01000043.1    -         result               -          cm        1       36     3813     3778      -    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 629164-37 SEEE6437_30, whole genome shotgun sequence
NZ_ALET01000034.1    -         result               -          cm        1       36     2434     2469      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50 SEEE7250_29, whole genome shotgun sequence
NZ_ALET01000034.1    -         result               -          cm        1       36     2506     2541      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50 SEEE7250_29, whole genome shotgun sequence
NZ_ALET01000034.1    -         result               -          cm        1       36     2542     2577      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 639672-50 SEEE7250_29, whole genome shotgun sequence
NZ_ALHW01000482.1    -         result               -          cm        1       36     5366     5401      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 76-2651 SEEE2651_257, whole genome shotgun sequence
NZ_ALHW01000482.1    -         result               -          cm        1       36     5438     5473      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 76-2651 SEEE2651_257, whole genome shotgun sequence
NZ_ALHW01000482.1    -         result               -          cm        1       36     5474     5509      +    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Enteritidis str. 76-2651 SEEE2651_257, whole genome shotgun sequence
NZ_ABEJ01000066.1    -         result               -          cm        1       36       63       28      -    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Schwarzengrund str. SL480 gcontig_1106389297848, whole genome shotgun sequence
NZ_ABEJ01000066.1    -         result               -          cm        1       36       99       64      -    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Schwarzengrund str. SL480 gcontig_1106389297848, whole genome shotgun sequence
NZ_ABEJ01000066.1    -         result               -          cm        1       36      135      100      -    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Schwarzengrund str. SL480 gcontig_1106389297848, whole genome shotgun sequence
NZ_CZMQ01000043.1    -         result               -          cm        1       36     2980     2945      -    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Weltevreden strain 2511STDY5462404, whole genome shotgun sequence
NZ_CZMQ01000043.1    -         result               -          cm        1       36     3016     2981      -    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Weltevreden strain 2511STDY5462404, whole genome shotgun sequence
NZ_CZMQ01000043.1    -         result               -          cm        1       36     3088     3053      -    no    1 0.39   0.0   55.7     1e-06 !   Salmonella enterica subsp. enterica serovar Weltevreden strain 2511STDY5462404, whole genome shotgun sequence
NZ_RYWZ01000091.1    -         result               -          cm        1       36     4596     4631      +    no    1 0.39   0.0   55.7     1e-06 !   Shigella sonnei strain GCID_CRE_0044 GCID_CRE_0044_NODE_117.ctg_1, whole genome shotgun sequence
NZ_PNUC01000096.1    -         result               -          cm        1       36       75      110      +    no    1 0.36   0.0   52.1   1.1e-05 !   Escherichia coli strain 402007 402007_96, whole genome shotgun sequence
NZ_PTPA01000030.1    -         result               -          cm        1       36      689      724      +    no    1 0.36   0.0   52.0   1.2e-05 !   Cronobacter sakazakii strain MOD1_LR654 LR654_contig_93, whole genome shotgun sequence
NZ_JH964510.1        -         result               -          cm        1       36        1       36      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli 07798 E07798.contig.232, whole genome shotgun sequence
NZ_JH964510.1        -         result               -          cm        1       36       37       72      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli 07798 E07798.contig.232, whole genome shotgun sequence
NZ_JH964510.1        -         result               -          cm        1       36     4527     4562      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli 07798 E07798.contig.232, whole genome shotgun sequence
NZ_KB002696.1        -         result               -          cm        1       36     6040     6005      -    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli 96.0939 gec960939.contig.21, whole genome shotgun sequence
NZ_BDLK01000116.1    -         result               -          cm        1       36     3312     3347      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 11247, whole genome shotgun sequence
NZ_BDLK01000116.1    -         result               -          cm        1       36     3348     3383      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 11247, whole genome shotgun sequence
NZ_JHRZ01000067.1    -         result               -          cm        1       36     2084     2119      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 200146 200146_67, whole genome shotgun sequence
NZ_PNVD01000064.1    -         result               -          cm        1       36     1902     1937      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 303227 303227_64, whole genome shotgun sequence
NZ_PNVD01000064.1    -         result               -          cm        1       36     1938     1973      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 303227 303227_64, whole genome shotgun sequence
NZ_PNVD01000064.1    -         result               -          cm        1       36     2010     2045      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 303227 303227_64, whole genome shotgun sequence
NZ_PNZP01000083.1    -         result               -          cm        1       36     3887     3852      -    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 310003 310003_83, whole genome shotgun sequence
NZ_PNZP01000083.1    -         result               -          cm        1       36     3959     3924      -    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 310003 310003_83, whole genome shotgun sequence
NZ_PNZP01000083.1    -         result               -          cm        1       36     3995     3960      -    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 310003 310003_83, whole genome shotgun sequence
NZ_PNZO01000104.1    -         result               -          cm        1       36        3       38      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 320321 320321_104, whole genome shotgun sequence
NZ_PNZO01000104.1    -         result               -          cm        1       36       39       74      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 320321 320321_104, whole genome shotgun sequence
NZ_PNZO01000104.1    -         result               -          cm        1       36       75      110      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 320321 320321_104, whole genome shotgun sequence
NZ_PNZO01000104.1    -         result               -          cm        1       36      147      182      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 320321 320321_104, whole genome shotgun sequence
NZ_CYBL01000072.1    -         result               -          cm        1       36      685      720      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 400549_aEPEC, whole genome shotgun sequence
NZ_CYBL01000072.1    -         result               -          cm        1       36      721      756      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 400549_aEPEC, whole genome shotgun sequence
NZ_CYBL01000072.1    -         result               -          cm        1       36      793      828      +    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 400549_aEPEC, whole genome shotgun sequence
NZ_POAR01000093.1    -         result               -          cm        1       36     2726     2691      -    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 400584 400584_93, whole genome shotgun sequence
NZ_POAR01000093.1    -         result               -          cm        1       36     2798     2763      -    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 400584 400584_93, whole genome shotgun sequence
NZ_POAR01000093.1    -         result               -          cm        1       36     2834     2799      -    no    1 0.36   0.0   52.0   1.2e-05 !   Escherichia coli strain 400584 400584_93, whole genome shotgun sequence
